2024-11-07 02:52:18.371: {"Reset":"Board was reset.  '?R' returns details"}
2024-11-07 02:52:18.381: 
2024-11-07 02:52:18.391: {"USB":"USB Interface Active"}
2024-11-07 02:52:18.401: 
2024-11-07 02:52:18.411: 0.2
2024-11-07 02:52:20.326: 0.2
2024-11-07 02:52:20.385: 0.2
2024-11-07 02:52:20.444: 0.2
2024-11-07 02:52:20.503: 0.2
2024-11-07 02:52:20.562: 0.2
2024-11-07 02:52:20.573: {"OutputFeature":"9"}
2024-11-07 02:52:20.583: {"RangeReportCount":9}
2024-11-07 02:52:20.629: 0.2,17.7,5.7,3.3,16.5,12.9,19.2,15.9,1.7
2024-11-07 02:52:20.697: 0.2,17.7,5.7,16.5,3.4,19.2,12.9,15.9,1.8
2024-11-07 02:52:20.764: 0.2,17.7,5.8,16.6,19.2,12.9,15.9,17.1,3.4
2024-11-07 02:52:20.776: {"FormatDigits":1}
2024-11-07 02:52:20.831: 0.2,5.8,17.7,16.6,12.9,15.9,19.2,3.4,2.0
2024-11-07 02:52:20.898: 0.2,17.8,5.8,16.6,15.9,19.2,12.9,13.9,3.4
2024-11-07 02:52:20.965: 0.2,5.7,18.0,17.6,2.6,16.0,16.7,3.4,2.0
2024-11-07 02:52:21.032: 0.2,5.8,18.1,16.8,16.2,14.2,2.6,15.7,19.5
2024-11-07 02:52:21.043: {"OutputFeature":"M"}
2024-11-07 02:52:21.108: 2155.7,0.2,283.4,18.1,274.8,5.8,230.9,16.9,228.4,16.2,198.0,13.2,194.0,14.2,189.0,17.5,181.5,15.6
2024-11-07 02:52:21.184: 2173.8,0.2,330.7,5.8,289.5,18.1,238.6,16.9,221.5,13.2,217.2,16.2,197.1,15.6,195.7,14.2,178.5,19.6
2024-11-07 02:52:21.261: 2171.8,0.2,325.4,5.8,293.4,18.1,243.6,16.8,226.3,13.2,214.0,16.2,193.5,3.0,189.7,15.6,182.9,14.8
2024-11-07 02:52:21.337: 2165.8,0.2,309.7,18.0,292.5,5.8,240.0,16.8,239.3,13.2,219.3,3.0,203.2,16.2,195.8,3.4,188.6,14.8
2024-11-07 02:52:21.414: 2165.2,0.2,315.2,18.0,292.0,5.8,254.6,16.8,242.2,13.2,233.2,3.4,206.5,3.0,192.4,14.8,189.3,16.2
2024-11-07 02:52:21.490: 2144.1,0.2,323.4,18.0,317.1,5.7,265.4,16.7,239.3,3.3,237.4,13.2,197.6,14.8,176.7,19.5,172.9,2.6
2024-11-07 02:52:21.567: 2149.1,0.2,333.7,18.0,283.6,5.8,267.1,16.7,220.0,13.2,218.3,3.3,209.4,14.8,177.0,19.5,171.5,15.3
2024-11-07 02:52:21.643: 2151.7,0.2,338.8,5.7,338.2,17.9,283.5,16.7,221.0,14.8,211.8,3.3,199.9,13.2,195.6,15.2,178.2,4.0
2024-11-07 02:52:21.720: 2157.0,0.2,355.5,17.9,291.3,16.7,279.0,5.8,219.4,14.8,210.5,13.2,201.5,4.0,186.9,15.2,173.3,19.4
2024-11-07 02:52:21.796: 2155.6,0.2,351.1,17.9,314.5,5.7,308.3,16.7,231.2,14.8,223.9,4.0,214.6,15.3,206.7,13.2,171.1,19.4
2024-11-07 02:52:21.873: 2154.9,0.2,347.3,17.9,315.9,16.7,270.8,5.8,237.4,15.3,229.0,14.8,210.4,4.0,190.9,13.3,159.8,19.4
2024-11-07 02:52:21.949: 2147.4,0.2,347.2,17.9,328.3,16.6,288.2,5.8,234.2,15.3,226.1,14.8,206.2,3.9,181.6,13.3,163.7,4.6
2024-11-07 02:52:22.026: 2131.8,0.2,339.3,16.6,331.9,17.9,300.1,5.7,253.1,15.3,225.4,14.8,211.8,3.9,169.2,13.3,158.5,19.2
2024-11-07 02:52:22.102: 2137.6,0.2,359.5,16.6,300.0,17.9,282.7,5.8,279.3,15.3,208.4,14.8,188.3,3.9,154.3,13.3,153.8,7.3
2024-11-07 02:52:22.177: 2143.2,0.2,361.8,16.6,314.2,5.8,289.9,15.3,289.6,17.9,206.5,14.8,177.1,7.3,161.2,3.9
2024-11-07 02:52:22.253: 2141.2,0.2,348.1,16.6,306.9,15.3,293.9,5.8,281.6,17.9,171.4,7.3,156.5,13.4,152.7,19.2,151.0,3.4
2024-11-07 02:52:22.330: 2141.2,0.2,364.6,5.8,354.7,16.6,314.7,15.3,283.1,17.9,209.7,3.4,193.0,14.8,161.9,7.3,158.7,2.6
2024-11-07 02:52:22.406: 2134.8,0.2,358.3,16.6,316.0,15.3,288.5,17.9,281.3,5.8,227.3,3.4,195.0,2.6,171.7,1.8,162.7,7.3
2024-11-07 02:52:22.483: 2138.1,0.2,350.5,16.6,316.8,15.3,296.7,5.8,280.0,17.9,239.5,3.4,211.0,2.6,184.2,1.8,170.9,13.4
2024-11-07 02:52:22.560: 2135.0,0.2,362.9,16.6,306.6,15.3,296.2,5.8,279.0,17.9,241.4,2.6,223.3,3.3,194.3,2.1,171.1,1.8
2024-11-07 02:52:22.637: 2137.8,0.2,366.3,16.6,319.1,15.3,269.7,2.6,268.3,5.8,265.2,17.9,244.5,2.0,211.6,3.3,172.3,13.4
2024-11-07 02:52:22.714: 2136.0,0.2,360.6,16.6,318.5,5.8,315.6,15.3,294.5,2.0,259.1,17.9,248.6,2.6,184.3,6.6,181.9,3.3
2024-11-07 02:52:22.791: 2136.6,0.2,365.9,16.6,329.0,2.1,316.4,15.3,283.6,5.8,252.9,17.9,217.4,2.6,196.8,6.6,185.5,13.4
2024-11-07 02:52:22.868: 2129.2,0.2,368.4,2.1,362.0,16.6,307.7,15.3,302.9,5.8,254.5,17.9,211.2,2.6,197.7,6.5,189.2,13.4
2024-11-07 02:52:22.945: 2135.7,0.2,372.1,2.1,362.2,16.6,325.5,5.8,293.0,15.3,263.2,17.9,213.9,2.6,192.0,3.2,181.0,6.5
2024-11-07 02:52:23.022: 2139.2,0.2,354.9,2.1,349.3,16.6,345.2,5.8,299.7,15.4,261.9,17.9,215.5,2.6,178.4,14.8,178.1,13.4
2024-11-07 02:52:23.099: 2137.1,0.2,383.3,5.7,348.7,16.6,341.3,2.1,299.6,15.4,259.7,17.9,250.9,2.6,189.7,14.8,161.6,13.4
2024-11-07 02:52:23.176: 2154.8,0.2,365.5,5.7,353.4,16.7,307.0,2.1,290.3,15.4,271.9,17.9,250.0,2.6,199.5,14.8,162.3,3.0
2024-11-07 02:52:23.253: 2162.0,0.2,354.6,5.7,342.5,16.7,288.8,17.9,273.1,15.4,272.9,2.2,262.9,2.6,192.8,14.8,164.8,13.3
2024-11-07 02:52:23.330: 2166.0,0.2,360.1,5.7,351.4,16.7,292.0,17.9,272.7,2.6,262.3,15.4,234.1,2.2,191.7,14.8,176.6,13.3
2024-11-07 02:52:23.407: 2172.3,0.2,370.9,5.7,337.7,16.7,303.0,18.0,281.7,2.6,255.7,15.4,212.8,2.3,185.5,14.8,181.6,13.3
2024-11-07 02:52:23.484: 2182.9,0.2,336.4,5.7,329.4,16.7,307.3,18.0,293.6,2.6,259.8,15.4,232.8,2.3,190.9,13.3,190.4,14.8
2024-11-07 02:52:23.561: 2185.6,0.2,338.6,16.7,323.6,5.8,305.0,18.0,299.6,2.6,249.4,15.3,247.5,2.3,206.2,14.8,189.8,13.3
2024-11-07 02:52:23.638: 2194.4,0.2,332.5,16.7,323.0,2.6,304.8,17.9,292.7,5.8,267.8,2.3,251.6,15.3,206.6,14.8,185.6,13.3
2024-11-07 02:52:23.715: 2193.1,0.2,335.0,2.6,334.0,16.7,301.9,18.0,283.1,5.8,259.9,15.4,255.9,2.3,202.2,14.8,190.7,3.3
2024-11-07 02:52:23.792: 2196.0,0.2,356.9,2.6,344.9,16.7,324.2,5.8,303.9,17.9,259.2,15.4,252.6,2.3,227.7,3.3,200.2,14.8
2024-11-07 02:52:23.869: 2193.6,0.2,336.4,16.7,329.4,2.6,328.2,5.8,305.7,18.0,264.8,15.4,229.9,3.3,217.0,2.3,201.4,14.8
2024-11-07 02:52:23.946: 2180.6,0.2,344.2,16.7,318.0,2.6,309.9,17.9,306.0,5.8,263.5,15.3,220.5,3.4,214.9,14.8,194.0,19.4
2024-11-07 02:52:24.023: 2184.7,0.2,356.7,16.7,318.1,2.6,303.0,17.9,292.1,5.8,268.5,15.3,229.1,3.5,217.2,14.8,193.6,19.3
2024-11-07 02:52:24.100: 2176.6,0.2,357.8,16.7,299.0,17.9,291.5,2.6,285.8,5.7,273.0,15.3,218.1,3.6,209.3,14.8,174.9,19.3
2024-11-07 02:52:24.177: 2175.0,0.2,363.9,16.6,338.1,5.8,302.9,17.9,270.2,15.3,253.2,2.6,215.2,14.8,212.8,3.6,176.0,13.3
2024-11-07 02:52:24.254: 2185.7,0.2,362.3,16.6,338.8,5.7,294.8,17.9,280.9,15.3,223.6,2.6,201.8,14.8,195.8,3.6,179.4,13.3
2024-11-07 02:52:24.331: 2200.7,0.2,368.4,5.7,367.8,16.6,286.7,17.9,282.3,15.3,224.0,2.6,200.1,3.6,187.7,4.2,172.9,13.3
2024-11-07 02:52:24.408: 2212.1,0.2,368.9,16.6,340.8,5.7,292.4,17.9,286.6,15.3,215.3,2.6,209.1,4.2,204.1,14.9,182.0,3.6
2024-11-07 02:52:24.485: 2212.5,0.2,359.0,16.6,336.9,5.7,291.1,15.3,281.4,17.9,247.1,2.6,232.6,4.2,192.8,3.5,178.7,2.3
2024-11-07 02:52:24.562: 2205.4,0.2,358.8,5.7,354.9,16.6,304.6,15.3,286.8,17.9,251.8,2.6,241.8,4.2,216.8,2.3,207.0,3.5
2024-11-07 02:52:24.639: 2201.1,0.2,362.1,16.6,303.8,15.3,294.1,5.7,277.0,17.9,243.3,2.6,235.8,2.3,230.1,3.5,209.2,4.2
2024-11-07 02:52:24.716: 2206.3,0.2,367.8,16.6,304.0,5.7,302.0,15.3,282.6,17.9,246.2,3.4,218.0,2.3,210.6,2.6,199.4,4.2
2024-11-07 02:52:24.793: 2204.1,0.2,359.3,16.6,308.2,15.3,277.9,17.9,257.3,3.4,255.2,5.7,209.1,2.3,199.2,2.6,196.5,4.2
2024-11-07 02:52:24.870: 2207.3,0.2,352.0,16.6,305.1,15.3,292.0,5.7,280.3,17.9,251.9,3.4,229.3,2.3,218.1,2.6,199.2,14.8
2024-11-07 02:52:24.947: 2205.0,0.2,340.5,16.6,308.9,15.3,280.9,17.9,268.4,3.4,229.1,5.7,212.5,2.3,202.0,2.6,184.0,6.6
2024-11-07 02:52:25.024: 2214.2,0.2,332.0,16.6,306.3,15.3,281.7,5.7,276.4,17.9,249.1,3.4,215.8,2.2,189.0,2.6,185.8,4.1
2024-11-07 02:52:25.101: 2220.5,0.2,328.8,16.6,308.0,15.3,282.5,17.9,254.7,3.4,252.8,5.8,202.2,4.1,193.3,2.2,172.1,5.4
2024-11-07 02:52:25.178: 2222.5,0.2,339.4,16.6,297.4,15.3,289.7,17.9,279.0,5.7,258.2,3.4,198.6,4.1,191.2,2.3,188.5,14.8
2024-11-07 02:52:25.255: 2212.9,0.2,353.6,16.6,286.5,15.3,286.4,17.9,276.8,3.4,245.4,5.8,196.6,2.3,193.1,2.6,183.1,4.1
2024-11-07 02:52:25.332: 2205.7,0.2,365.7,16.6,289.2,15.3,280.9,17.9,260.4,3.4,250.4,5.7,216.2,2.6,198.8,2.2,171.1,1.8
2024-11-07 02:52:25.409: 2204.3,0.2,349.8,16.6,285.9,15.3,281.9,17.9,256.9,5.8,254.7,3.4,218.3,2.6,212.2,2.1,172.8,13.4
2024-11-07 02:52:25.486: 2207.7,0.2,346.4,16.6,290.7,17.9,271.2,15.3,267.3,5.7,249.1,3.4,224.3,2.6,224.1,2.0,187.4,14.8
2024-11-07 02:52:25.563: 2205.1,0.2,341.2,16.7,298.3,17.9,282.3,5.7,260.0,15.4,243.7,3.4,227.4,2.1,213.7,2.6,201.1,14.8
2024-11-07 02:52:25.640: 2205.6,0.2,324.5,16.7,303.0,17.9,293.2,5.7,263.6,15.4,244.2,3.4,228.7,2.6,215.5,2.1,206.7,14.8
2024-11-07 02:52:25.717: 2212.3,0.2,322.3,16.7,312.0,17.9,299.3,5.7,264.6,15.4,254.3,2.6,237.5,3.4,217.6,2.2,203.8,14.8
2024-11-07 02:52:25.794: 2213.2,0.2,324.8,17.9,320.2,16.7,314.7,5.7,260.5,2.6,246.8,15.4,223.0,3.4,207.5,2.3,205.1,14.8
2024-11-07 02:52:25.871: 2209.9,0.2,326.9,5.7,319.7,16.7,316.0,17.9,281.7,2.6,251.0,15.4,210.7,3.4,207.6,2.3,201.3,14.8
2024-11-07 02:52:25.948: 2207.9,0.2,321.8,18.0,319.1,16.7,304.4,5.8,279.5,2.6,252.0,15.4,211.3,3.4,205.1,2.4,199.1,14.8
2024-11-07 02:52:26.025: 2209.1,0.2,321.7,18.0,318.5,16.7,305.6,5.7,286.0,2.6,255.4,15.4,216.1,2.3,202.9,14.8,185.5,4.1
2024-11-07 02:52:26.102: 2207.7,0.2,326.0,18.0,315.0,16.7,293.3,5.8,272.4,2.6,251.4,15.4,223.2,2.3,197.5,14.8,185.0,4.1
2024-11-07 02:52:26.179: 2203.4,0.2,321.3,16.7,318.9,18.0,294.5,5.7,288.8,2.6,251.7,15.4,230.9,2.3,196.8,4.1,192.2,14.8
2024-11-07 02:52:26.256: 2215.3,0.2,323.6,16.7,313.3,18.0,291.6,2.6,270.2,5.8,267.4,15.4,224.1,2.3,194.0,14.8,190.9,13.3
2024-11-07 02:52:26.333: 2278.3,0.2,325.2,2.6,293.9,5.8,259.4,18.2,240.7,16.8,219.9,2.3,216.0,15.4,205.9,3.4,179.2,2.9
2024-11-07 02:52:26.410: 2220.0,0.2,301.1,2.6,280.7,5.7,276.0,18.0,254.6,16.7,252.9,3.4,242.8,15.4,213.4,2.3,188.9,4.2
2024-11-07 02:52:26.487: 2208.1,0.2,290.8,16.7,289.1,2.6,286.7,18.0,279.5,5.7,254.7,15.4,237.6,3.4,232.2,4.2,211.4,2.2
